order_number,item_purchased,price,quantity,category,mode of payment,seller_name,placed_on,shipped_on,delivered_on,courier,location,discount_type,free_shipping,refund_status,refund_reason
913703975211266,Pet Sausage Beef,97.20,20,Pet Care,Credit Card,Pet New Land Official store,10/12/2024,N/A,N/A,Flash express PH,"Magallanes, Cavite",Coins,Yes,Yes,Re-order
913703975211266,Pet Shampoo,75.87,1,Pet Care,Credit Card,Pet New Land Official store,10/12/2024,N/A,N/A,Flash express PH,"Magallanes, Cavite",Coins,Yes,Yes,Re-order
912803320011266,Vaginal suppository,59.00,1,Personal use,Credit Card,Fix Beauty,10/12/2024,10/11/2024,10/12/2024,Flash express PH,"Magallanes, Cavite",0,Yes,N/A,N/A
911867757911266,Garbage XXL,162.00,3,House Maintenace,Paylater,KRG.SHOP,10/12/2024,10/10/2024,10/11/2024,Flash express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
911867757211266,Humidifier oil Ocean Breeze,28.00,1,Personal use,Paylater,Scent Escape,10/12/2024,10/10/2024,10/11/2024,Flash express PH,"Magallanes, Cavite",Voucher,Yes,N/A,N/A
911867757211266,Humidifier oil Lemon zest,28.00,1,Personal use,Paylater,Scent Escape,10/10/2024,10/10/2024,10/11/2024,Flash express PH,"Magallanes, Cavite",Voucher,Yes ,N/A,N/A
911867757211266,Humidifier oil Fresh Bamboo,28.00,1,Personal use,Paylater,Scent Escape,10/9/2024,10/10/2024,10/11/2024,Flash express PH,"Magallanes, Cavite",Voucher,Yes,N/A,N/A
911867757211266,Humidifier oil Eucalyptus,28.00,1,Personal use,Paylater,Scent Escape,10/9/2024,10/10/2024,10/11/2024,Flash express PH,"Magallanes, Cavite",Voucher,Yes,N/A,N/A
911867757211266,Humidifier oil Cherry blossom,28.00,1,Personal use,Paylater,Scent Escape,10/9/2024,10/10/2024,10/11/2024,Flash express PH,"Magallanes, Cavite",Voucher,Yes,N/A,N/A
911867757211266,Humidifier oil Lavender,28.00,1,Personal use,Paylater,Scent Escape,10/9/2024,10/10/2024,10/11/2024,Flash express PH,"Magallanes, Cavite",Voucher,Yes,N/A,N/A
911867757011266,Cheek lamp,699.00,1,Car maintenace,Paylater,Nate Car Enthusiast auto parts,10/9/2024,10/10/2024,10/11/2024,Flash express PH,"Magallanes, Cavite",Voucher,No,N/A,N/A
911852559211266,Garbage XXL,145.33,3,House Maintenace,Paylater,KRG.SHOP,10/9/2024,N/A,N/A,N/A,"Magallanes, Cavite",Coins and voucher,Yes,Yes,Re-order
911852558511266,Humidifier oil citronella,28.00,1,Personal use,Paylater,Scent Escape,10/9/2024,N/A,N/A,N/A,"Magallanes, Cavite",Voucher,Yes,Yes,Re-order
911852558511266,Humidifier oil Ocean Breeze,28.00,1,Personal use,Paylater,Scent Escape,10/9/2024,N/A,N/A,N/A,"Magallanes, Cavite",Voucher,Yes,Yes,Re-order
911852558511266,Humidifier oil Cherry blossom,28.00,1,Personal use,Paylater,Scent Escape,10/9/2024,N/A,N/A,N/A,"Magallanes, Cavite",Voucher,Yes ,Yes,Re-order
911852558511266,Humidifier oil Peppermint,28.00,1,Personal use,Paylater,Scent Escape,10/9/2024,N/A,N/A,N/A,"Magallanes, Cavite",Voucher,Yes,Yes,Re-order
911852558511266,Humidifier oil Eucalyptus,28.00,1,Personal use,Paylater,Scent Escape,10/9/2024,N/A,N/A,N/A,"Magallanes, Cavite",Voucher,Yes,Yes,Re-order
911852558511266,Humidifier oil Lavender,28.00,1,Personal use,Paylater,Scent Escape,10/9/2024,N/A,N/A,N/A,"Magallanes, Cavite",Voucher,Yes,Yes,Re-order
911852558311266,Cheek lamp,699.00,1,Car maintenace,Paylater,Nate Car Enthusiast auto parts,10/9/2024,N/A,N/A,N/A,"Magallanes, Cavite",Voucher,No,Yes,Re-order
911703328211266,New smart watch LIGE,720.03,1,Others,Paylater,Global Jay,10/9/2024,N/A,10/17/2024,LEX PH,"Silang, Cavite",Vouucher,Yes,N/A,N/A
910973370911266,Door lock door knob,98.00,1,House Maintenace,Credit Card,Arrow Hardware,10/9/2024,10/8/2024,10/9/2024,Flash express PH,"Magallanes, Cavite",Coins,Yes,N/A,N/A
910973370911266,Gold chain with padlock,59.00,1,House Maintenace,Credit Card,Arrow Hardware,10/9/2024,10/8/2024,10/9/2024,Flash express PH,"Magallanes, Cavite",Coins,Yes,N/A,N/A
910454988411266,Fitflop new slippers,156.10,1,Personal use,Paylater,Mengxiangmoffang,10/9/2024,10/6/2004,10/8/2024,J&T Express PH,"Magallanes, Cavite",Coins,Yes,N/A,N/A
910125583611266,Nebulizer,561.85,1,Pasabuy,Paylater,Indoplas Philippines,10/7/2024,10/07/2024,10/8/2024,Flash express PH,"Magallanes, Cavite",Coins,No,N/A,N/A
910125583411266,Contact paper for fridge,228.26,1,Pasabuy,Paylater,K-K SHOP,10/7/2024,10/06/2024,10/7/2024,Flash express PH,"Magallanes, Cavite",Voucher,Yes,N/A,N/A
910125582111266,Lettuce seeds - Grand romaine,28.00,2,Garden maintenace,Paylater,Seeds Depot,10/6/2024,10/6/2024,10/7/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
910125582111266,Lettuce seeds - Curly green,30.00,2,Garden maintenace,Paylater,Seeds Depot,10/5/2024,10/6/2024,10/7/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
910125582111266,Herb seeds - leeks natsuguro,15.00,1,Garden maintenace,Paylater,Seeds Depot,10/5/2024,10/6/2024,10/7/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
910125582111266,Herb seeds - parsley ,16.00,1,Garden maintenace,Paylater,Seeds Depot,10/5/2024,10/6/2024,10/7/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
910125582111266,Herbs seeds - coriander,17.00,1,Garden maintenace,Paylater,Seeds Depot,10/5/2024,10/6/2024,10/7/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
910125582111266,Herbs seeds - kinchay,16.00,1,Garden maintenace,Paylater,Seeds Depot,10/5/2024,10/6/2024,10/7/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
